CODGEO;Part_actif_salaries;Population;Rurale
33521;77,38095238;550;1
33522;91,04219853;37228;0
33523;80,66860465;1686;1
33524;86,66666667;254;1
33525;82,27360308;1294;1
33526;72,13114754;131;1
33527;86,43113159;4820;0
33528;83,74384236;498;1
33529;85,26686217;22976;0
33530;82,69230769;667;1
33531;79,6875;296;1
33532;86,95652174;438;1
33533;85,3372434;1991;0
33534;81,74904943;695;0
33535;90,04796163;3597;0
33536;85,48387097;161;1
33537;77,35849057;416;1
33538;73,50993377;418;1
33539;85,74040219;2625;0
33540;75,91240876;1827;1
33541;73,24561404;694;1
33542;86,44067797;715;1
33543;83,83233533;869;0
33544;82,8125;1273;1
33545;85,51068884;1068;1
33546;74,31192661;534;1
33547;80,07380074;816;1
33548;84,69827586;1093;1
33549;82,53968254;274;1
33550;90,96297647;27489;0
33551;87,69230769;364;1
33552;86,85015291;747;0
33553;84,65608466;900;1
33554;84,41835646;2160;0
33555;93,8547486;3486;0
