"CODGEO","Part_actif_salaries","Population","Rurale","Prixm2Moyen","Revenu_median","Retraite","Densité_médicale_BV","Score_équipement_santé","Nb_mineurs","Nb_etudiants","nb_entreprises","Score_urbanité"
"33087",79.04191617,442,"1",1023,20266.6666666667,130.450704225352,0.126047603084143,4,526,27,19,0
"33088",86.33093525,388,"0",1606.5,17874,173,0.152866242038217,3,439,23,29,12.5
"33089",82.66666667,407,"1",1040,19147.9310344828,123.963537787835,0.127723768018773,4,473,27,17,0
"33090",93.16129032,5121,"0",2608.61538461538,23736.6666666667,1183.04826573685,1,1,6268,494,285,87.5
"33091",90.64327485,1177,"1",1767.37416834182,21739.8095238095,227.323541726044,1,1,1400,67,43,0
"33092",60.52631579,173,"1",1387.2751010101,19959.5238095238,50,0.140797854508884,4,202,10,11,0
"33093",79.93079585,624,"1",1857,20245.5555555556,136.788405797101,0.124371438149514,4,746,36,34,0
"33094",48.27586207,204,"1",2150,19389.0476190476,54.7608695652174,1,1,253,10,11,0
"33095",86.44067797,1505,"1",886.857142857143,18075.3333333333,493.58454413642,0.137445524639625,4,1708,65,82,0
"33096",92.13441654,6620,"0",3981.19318181818,21166,1836,1,1,7782,455,307,87.5
"33097",79.34027778,1549,"1",2766.43396226415,20412,639.112227805694,0.138451223600402,2,1769,62,207,0
"33098",87.5,373,"1",1521.66666666667,20000,58.2892057026476,0.124371438149514,4,437,27,7,0
"33099",86.37846656,3095,"0",2106.45454545455,25424.7619047619,918.336349240594,1,1,3731,281,103,87.5
"33100",80.60344828,1189,"0",1829.44444444444,19629.6666666667,320.826161790018,0.127723768018773,4,1383,76,63,25
"33101",77.68115942,872,"1",1017.5,18427.1428571429,263.811074918566,0.127723768018773,4,1000,54,55,0
"33102",82.69230769,367,"1",1292.66376334776,18544.6666666667,114.135338345865,0.126047603084143,4,413,19,9,0
"33103",66.66666667,62,"1",1203.87601851852,19157.7660034408,3.92307692307692,0.155548105933624,3,72,2,8,0
"33104",89.9917287,3165,"0",1994.71153846154,20730.9523809524,792.349277121642,0.0898424404961448,4,3842,206,186,12.5
"33105",55.84415584,185,"1",1094,18901.6666666667,75.0953529028571,0.155548105933624,3,217,16,12,0
"33106",87.53180662,1123,"1",1355.8,19048.5714285714,331.661110785727,0.140797854508884,4,1325,56,60,0
"33107",79.22077922,216,"1",1461.806,18586.6666666667,64,0.140797854508884,4,251,21,15,0
"33108",83.80855397,3115,"0",1201.55555555556,14854,899.668152350073,0.11733154542407,4,3507,144,259,25
"33109",88.37209302,1512,"0",2097.03703703704,22634.7619047619,358.503269582406,0.144485417365069,4,1788,108,84,25
"33111",80.48048048,932,"1",1245.69230769231,18351.3333333333,270,0.140797854508884,4,1081,55,57,0
"33112",70,122,"1",633.5,18237.7777777778,63.1788079470199,0.155548105933624,3,142,6,6,0
"33113",66.66666667,107,"1",1338,18206.6666666667,40.75,0.137445524639625,4,119,8,4,0
"33114",78.94736842,1192,"1",1335.92307692308,17816,352.358683277588,0.0955414012738854,2,1408,57,126,0
"33115",84.61538462,179,"1",1091.5,20715.3333333333,102.692311854316,0.137445524639625,4,206,7,11,0
"33116",81.63265306,224,"1",1288.8,20251.1111111111,59.9268292682927,0.137445524639625,4,262,4,6,0
"33117",68.42105263,223,"1",1992.66666666667,17512.0833333333,65,1,1,266,9,10,0
"33118",86.94029851,1806,"0",2448.05555555556,25376.4285714286,439,1,1,2121,174,66,87.5
"33119",93.01141835,21283,"0",2208.5632183908,16413.5,4740.75782564604,1,1,25302,1594,1704,87.5
"33120",87.85046729,1347,"1",1514.55555555556,20148.0952380952,371.250797644048,0.124371438149514,4,1535,59,49,0
"33121",79.41176471,169,"1",859.333333333333,18492.1,48.1770833333333,0.140797854508884,4,201,14,8,0
"33122",91.62096671,16936,"0",2704.49166666667,26327.5,4897.7605910208,1,1,20180,1850,856,87.5
"33123",84.23423423,1764,"1",1518.5,20089.5555555556,436,0.0955414012738854,2,2116,109,66,0
"33124",90.42553191,559,"1",1285,19035.7142857143,157.52808988764,0.0982232651692927,3,628,31,18,0
"33125",87.88343558,1535,"1",1327.125,20431.3333333333,453.863636363636,0.13208179684881,4,1838,101,68,0
"33126",83.08270677,668,"1",1700.8,18638.0952380952,193.835436104758,0.0955414012738854,2,790,50,20,0
"33127",74.72527473,225,"1",1266,17531.1111111111,46.6415094339623,0.11733154542407,4,256,7,10,0
"33128",74.07407407,502,"1",2157.66666666667,19493,189.436936936937,0.135434126718069,4,583,28,21,0
"33129",58.06451613,149,"1",1477,17486,49.375,0.155548105933624,3,184,12,3,0
"33130",83.65758755,657,"1",1613.6,20539.5833333333,125,0.140797854508884,4,805,50,28,0
"33131",84.81012658,179,"1",788,18666.8,30,0.155548105933624,3,208,9,9,0
"33132",88.96551724,389,"1",1263.5,20182.1212121212,103.968253968254,0.138451223600402,4,458,26,9,0
"33133",53.06122449,106,"1",1340,18792.951414602,30,1,1,124,7,1,0
"33134",70.73170732,209,"1",1474.75,18203.3333333333,20.3846153846154,0.135434126718069,4,250,13,9,0
"33135",69.6969697,101,"1",1641,20329.6774193548,24.5901639344263,0.140797854508884,4,112,4,3,0
"33136",61,249,"1",1073.5,18598,80.8571428571429,0.124036205162588,4,282,7,12,0
"33137",71.18644068,158,"1",1170,18516.1904761905,39.81220657277,0.137445524639625,4,180,10,4,0
"33138",87.86150713,7027,"0",1379.9125,18406.4,2293.35820094252,0.0982232651692927,3,8229,404,429,37.5
"33139",61.9047619,65,"1",1401.5,17230.4761904762,16.6583810601884,0.124036205162588,4,73,1,4,0
"33140",88.66608544,2856,"0",1950.5,19741.25,923.8553948832,0.0811263828360711,3,3375,185,266,12.5
"33141",86.66666667,382,"1",1917.33333333333,23006.6666666667,113.820598006644,0.0811263828360711,3,466,25,18,0
"33142",83.99014778,1049,"1",1626.92307692308,20357,241.744755244755,0.0955414012738854,2,1282,66,45,0
"33143",89.0080429,1787,"0",1848.60714285714,20813.8888888889,411.06094365146,0.107274555816292,4,2157,131,81,37.5
"33144",80.73394495,557,"1",1656.83333333333,19049,165,0.137445524639625,4,648,28,21,0
"33145",85,437,"1",1796,23454,114,0.0811263828360711,3,528,42,14,0
"33146",89.28571429,1352,"1",1550.13636363636,19217,306.309591642925,0.13208179684881,4,1646,104,43,0
"33147",80.86419753,406,"1",1920.4,19648,102.978568043294,0.0965471002346631,2,484,18,16,0
"33148",75,59,"1",933,19764.9294177877,25.5952380952381,0.0965471002346631,2,62,3,7,0
"33149",62.31884058,138,"1",1423.47926767677,19489.0476190476,19.4701986754967,0.155548105933624,3,160,13,4,0
"33150",64.54545455,263,"1",1405.5,19198.0833333333,73.0336130652642,0.124036205162588,4,300,16,6,0
"33151",74.01574803,778,"1",982.875,17054,217.547380156076,0.0831377807576266,2,902,34,25,0
"33152",70.90909091,124,"1",1320.42555555556,21765.75,32.7049180327869,0.124371438149514,4,144,6,4,0
"33153",61.9047619,230,"1",1433,18111.3333333333,50.412213740458,0.11733154542407,4,268,18,9,0
"33154",83.86491557,1883,"0",904.333333333333,17031.3333333333,542,0.0982232651692927,3,2243,90,80,37.5
"33155",84,167,"1",664,20493,54.6439392596354,0.137445524639625,4,187,4,4,0
"33156",60.17699115,244,"1",2380.33333333333,18383.0434782609,79.325,0.124371438149514,4,259,7,13,0
"33157",84.36018957,532,"1",1804.6,21450.5,92.0694087403598,0.0965471002346631,2,655,24,24,0
"33158",81.17647059,218,"1",1043.5,20391.3333333333,36.3125,0.126047603084143,4,263,13,6,0
"33159",86.17234469,1394,"1",1045.92857142857,19004,343.946236759755,0.127723768018773,4,1664,77,72,0
"33160",74.13793103,478,"1",1008.28571428571,18960.5,208.36499882535,1,1,541,21,20,0
"33161",83.49514563,580,"1",1094.2,18840,210.671688506615,0.127723768018773,4,693,35,29,0
"33162",89.48540003,18411,"0",2586.03703703704,21184,4136.8522270195,1,1,21791,1511,1005,87.5
"33163",75.83333333,310,"1",1619.25,20580,80.579196217494,0.140797854508884,4,362,16,20,0
"33164",83.77862595,1216,"1",1665.25,22306.1111111111,403.46685443605,0.140797854508884,4,1463,77,36,0
"33165",86.92152918,2249,"0",2220.25714285714,23871.9047619048,631.744551082712,1,1,2629,178,154,87.5
"33166",85.82677165,373,"1",978,17842.380952381,61.7408123791103,0.0982232651692927,3,442,20,12,0
"33167",92.73858921,16156,"0",2347.25174825175,18403.8888888889,3181.09728088598,1,1,19370,1459,909,87.5
"33168",80.10752688,490,"1",1555.33333333333,18979.1304347826,179.226890756303,0.11733154542407,4,566,24,22,0
"33169",76.19047619,116,"1",666,16440,10.8387096774194,0.126047603084143,4,138,3,8,0
"33170",76.78571429,731,"1",1264.18181818182,18934.4,212.314587656704,0.126047603084143,4,859,37,37,0
"33171",50.81967213,158,"1",1415,17251,67.1590909090909,0.126047603084143,4,185,11,8,0
"33172",77.08333333,279,"1",1099.5,20817.8260869565,88.8451509002022,0.127723768018773,4,328,19,9,0
"33173",75.34246575,178,"1",1199,19730,75,0.11733154542407,4,211,4,11,0
"33174",75.55555556,1044,"1",1841.63636363636,20020,320,0.137110291652699,4,1196,66,90,0
"33175",74.7826087,650,"1",711.4,17965.3571428571,129.005314450637,0.140797854508884,4,772,34,42,0
"33176",71.15384615,265,"1",1531,20274.347826087,104.066895395186,0.124371438149514,4,313,18,9,0
"33177",80.82758621,1916,"0",1503.72727272727,19203.5,623.797000392168,0.135434126718069,4,2230,148,92,25
"33178",74.19354839,323,"1",1195.5,17772.8333333333,129.664082687338,0.137445524639625,4,366,18,19,0
"33179",86.50717703,2434,"1",1521.82352941176,20152,652.747421586221,0.10258129399933,1,2892,170,98,0
"33180",70.90909091,158,"1",1143,18425,19.5854922279792,0.137445524639625,4,191,18,10,0
"33181",80.46875,282,"1",1027.75,19366,61.4583333333334,0.11733154542407,4,328,16,10,0
"33182",84.84848485,825,"1",1080.44444444444,21199.3333333333,165.873417721519,0.138451223600402,4,966,48,42,0
"33183",91.13924051,943,"1",1421,20172.4,213.573797678275,0.107274555816292,4,1135,82,33,0
"33184",81.05263158,493,"1",1367,18882,166.470588235294,0.127723768018773,4,579,31,13,0
"33185",81.15449915,1319,"1",1953.15,21349.6428571429,335,0.137110291652699,4,1578,110,59,0
"33186",73.24840764,800,"1",927.5,17201,269,1,1,900,26,61,0
"33187",84.21052632,1108,"0",965.555555555556,17166.6666666667,339,0.126047603084143,4,1286,52,75,25
"33188",87.5,171,"1",1611,18164.7826086956,57.9569892473119,0.137445524639625,4,191,5,6,0
"33189",70.66666667,368,"1",1430.66666666667,17806.6666666667,90,0.155548105933624,3,434,15,27,0
"33190",82.14285714,77,"1",1560,20217.7065642746,30.8571428571428,0.137445524639625,4,89,5,3,0
"33191",86.82170543,373,"0",1164,18126.1111111111,120.664060951674,0.124036205162588,4,422,17,13,37.5
"33192",91.25488393,22180,"0",2662.42205323194,23276.7741935484,5770.11366395786,1,1,25462,2944,1088,87.5
"33193",78.02690583,728,"1",2219.33333333333,19678.5,514.813432835821,0.140127388535032,3,838,26,77,0
"33194",80.65843621,610,"1",1522.83333333333,20642,172.493543758967,0.0965471002346631,2,686,33,38,0
"33195",77.85234899,1058,"1",916,17215.5,445.068631285998,0.137445524639625,4,1206,48,75,0
"33196",70,156,"1",2123,17078,46.1123595505618,0.0965471002346631,2,182,1,6,0
"33197",92.30769231,356,"1",1538,19801.9047619048,95,0.140797854508884,4,436,26,19,0
"33198",82.68839104,1475,"1",1284.84210526316,18206,361.261829652997,0.141803553469661,3,1722,94,100,0
"33199",83.56950673,14963,"0",2890.39240506329,22055.2380952381,6556.04383685981,1,1,17554,988,885,62.5
"33200",91.67121791,8134,"0",2833.58620689655,23201,2075.94549110406,1,1,9779,757,563,87.5
"33201",81.78913738,732,"1",2321.16666666667,21137.8260869565,153.086419753086,0.0811263828360711,3,868,46,32,0
"33202",76.59574468,741,"1",1753.27777777778,19921,294.16477702192,0.140797854508884,4,841,29,55,0
"33203",82.50319285,2325,"1",2056.23762376238,20375,1189.94516295019,0.138451223600402,2,2710,134,182,0
"33204",75.81699346,438,"1",1026.5,19629.6774193548,154.694280078895,0.126047603084143,4,500,28,17,0
"33205",86.825054,1161,"1",1355.45454545455,21672.4408602151,334,0.109621186724774,1,1356,74,59,0
"33206",85.71428571,522,"1",1795.25,20238.5,70,0.144485417365069,4,634,25,19,0
"33207",91.23529412,3958,"0",2116.41666666667,21678.6666666667,890.01191127388,1,1,4870,289,169,87.5
"33208",75.72463768,867,"1",1152.93333333333,18012.2222222222,367.270564915758,0.135434126718069,4,972,35,43,0
"33209",73.91304348,221,"1",1875,19669.5238095238,64.1126279863481,0.11733154542407,4,255,9,13,0
"33210",63.73626374,205,"1",2086.66666666667,19207,43.8287937743191,0.11733154542407,4,229,7,10,0
